Date,adjclose,adjclose_1d,adjclose_2d,adjclose_3d,adjclose_7d,adjclose_14d,target
2000-01-24,0.8111221790313721,0.8497699499130249,0.8664692044258118,0.8135074973106384,0.6655974388122559,0.8545407056808472,0.8569260835647583
2000-01-25,0.8569260835647583,0.8111221790313721,0.8497699499130249,0.8664692044258118,0.7385976314544678,0.7824944853782654,0.8411811590194702
2000-01-26,0.8411811590194702,0.8569260835647583,0.8111221790313721,0.8497699499130249,0.7667485475540161,0.7939448952674866,0.8397498726844788
2000-01-27,0.8397498726844788,0.8411811590194702,0.8569260835647583,0.8111221790313721,0.7934678196907043,0.7252383232116699,0.7758142352104187
2000-01-28,0.7758142352104187,0.8397498726844788,0.8411811590194702,0.8569260835647583,0.8135074973106384,0.7595919966697693,0.7920363545417786
2000-01-31,0.7920363545417786,0.7758142352104187,0.8397498726844788,0.8411811590194702,0.8664692044258118,0.7462322115898132,0.7653171420097351
2000-02-01,0.7653171420097351,0.7920363545417786,0.7758142352104187,0.8397498726844788,0.8497699499130249,0.7080618143081665,0.7543430328369141
2000-02-02,0.7543430328369141,0.7653171420097351,0.7920363545417786,0.7758142352104187,0.8111221790313721,0.6655974388122559,0.7886967658996582
2000-02-03,0.7886967658996582,0.7543430328369141,0.7653171420097351,0.7920363545417786,0.8569260835647583,0.7385976314544678,0.8244818449020386
2000-02-04,0.8244818449020386,0.7886967658996582,0.7543430328369141,0.7653171420097351,0.8411811590194702,0.7667485475540161,0.870762825012207
2000-02-07,0.870762825012207,0.8244818449020386,0.7886967658996582,0.7543430328369141,0.8397498726844788,0.7934678196907043,0.8769665360450745
2000-02-08,0.8769665360450745,0.870762825012207,0.8244818449020386,0.7886967658996582,0.7758142352104187,0.8135074973106384,0.8597888350486755
2000-02-09,0.8597888350486755,0.8769665360450745,0.870762825012207,0.8244818449020386,0.7920363545417786,0.8664692044258118,0.8664692044258118
2000-02-10,0.8664692044258118,0.8597888350486755,0.8769665360450745,0.870762825012207,0.7653171420097351,0.8497699499130249,0.8302069306373596
2000-02-11,0.8302069306373596,0.8664692044258118,0.8597888350486755,0.8769665360450745,0.7543430328369141,0.8111221790313721,0.8841227293014526
2000-02-14,0.8841227293014526,0.8302069306373596,0.8664692044258118,0.8597888350486755,0.7886967658996582,0.8569260835647583,0.9084566235542297
2000-02-15,0.9084566235542297,0.8841227293014526,0.8302069306373596,0.8664692044258118,0.8244818449020386,0.8411811590194702,0.871239960193634
2000-02-16,0.871239960193634,0.9084566235542297,0.8841227293014526,0.8302069306373596,0.870762825012207,0.8397498726844788,0.8769665360450745
2000-02-17,0.8769665360450745,0.871239960193634,0.9084566235542297,0.8841227293014526,0.8769665360450745,0.7758142352104187,0.8492927551269531
2000-02-18,0.8492927551269531,0.8769665360450745,0.871239960193634,0.9084566235542297,0.8597888350486755,0.7920363545417786,0.8688547015190125
2000-02-22,0.8688547015190125,0.8492927551269531,0.8769665360450745,0.871239960193634,0.8664692044258118,0.7653171420097351,0.8874624967575073
2000-02-23,0.8874624967575073,0.8688547015190125,0.8492927551269531,0.8769665360450745,0.8302069306373596,0.7543430328369141,0.8794702291488647
2000-02-24,0.8794702291488647,0.8874624967575073,0.8688547015190125,0.8492927551269531,0.8841227293014526,0.7886967658996582,0.8426125049591064
2000-02-25,0.8426125049591064,0.8794702291488647,0.8874624967575073,0.8688547015190125,0.9084566235542297,0.8244818449020386,0.8645607829093933
2000-02-28,0.8645607829093933,0.8426125049591064,0.8794702291488647,0.8874624967575073,0.871239960193634,0.870762825012207,0.8750577569007874
2000-02-29,0.8750577569007874,0.8645607829093933,0.8426125049591064,0.8794702291488647,0.8769665360450745,0.8769665360450745,0.9948168396949768
2000-03-01,0.9948168396949768,0.8750577569007874,0.8645607829093933,0.8426125049591064,0.8492927551269531,0.8597888350486755,0.9313586950302124
2000-03-02,0.9313586950302124,0.9948168396949768,0.8750577569007874,0.8645607829093933,0.8688547015190125,0.8664692044258118,0.9771631956100464
2000-03-03,0.9771631956100464,0.9313586950302124,0.9948168396949768,0.8750577569007874,0.8874624967575073,0.8302069306373596,0.9595094323158264
2000-03-06,0.9595094323158264,0.9771631956100464,0.9313586950302124,0.9948168396949768,0.8794702291488647,0.8841227293014526,0.9380382895469666
2000-03-07,0.9380382895469666,0.9595094323158264,0.9771631956100464,0.9313586950302124,0.8426125049591064,0.9084566235542297,0.9313586950302124
2000-03-08,0.9313586950302124,0.9380382895469666,0.9595094323158264,0.9771631956100464,0.8645607829093933,0.871239960193634,0.9332672357559204
2000-03-09,0.9332672357559204,0.9313586950302124,0.9380382895469666,0.9595094323158264,0.8750577569007874,0.8769665360450745,0.9599871039390564
2000-03-10,0.9599871039390564,0.9332672357559204,0.9313586950302124,0.9380382895469666,0.9948168396949768,0.8492927551269531,0.9261100888252258
2000-03-13,0.9261100888252258,0.9599871039390564,0.9332672357559204,0.9313586950302124,0.9313586950302124,0.8688547015190125,0.8721944093704224
2000-03-14,0.8721944093704224,0.9261100888252258,0.9599871039390564,0.9332672357559204,0.9771631956100464,0.8874624967575073,0.8874624967575073
2000-03-15,0.8874624967575073,0.8721944093704224,0.9261100888252258,0.9599871039390564,0.9595094323158264,0.8794702291488647,0.9280185103416443
2000-03-16,0.9280185103416443,0.8874624967575073,0.8721944093704224,0.9261100888252258,0.9380382895469666,0.8426125049591064,0.954261064529419
2000-03-17,0.954261064529419,0.9280185103416443,0.8874624967575073,0.8721944093704224,0.9313586950302124,0.8645607829093933,0.9389925003051758
